#t(a.u.)         c11(t)         c12(t)         c22(t)          decay
       0             -0             -0             -0              1
     0.1       -1.39981        6.61846       -38.6529       0.999999
     0.2       -1.91869        6.94748       -25.4566       0.999997
     0.3       -1.87453        5.46871       -15.4962       0.999993
     0.4         -1.613        3.75367       -6.29163       0.999988
     0.5       -1.36998         3.0228       -6.02995       0.999981
     0.6        -1.1229        2.41076        -5.2121       0.999972
     0.7       -0.84644        1.75119       -5.82033       0.999962
     0.8      -0.529567       0.779473       -2.13103        0.99995
     0.9      -0.207795      -0.478764        2.26293       0.999937
       1     -0.0274305       -1.71983        14.2952       0.999922
     1.1      -0.223429      -0.296497         2.7213       0.999906
     1.2       -0.52012        1.33572       -6.18743       0.999888
     1.3      -0.682473        1.98316        -8.0475       0.999868
     1.4      -0.680744        1.94282       -7.37763       0.999847
     1.5      -0.541304          1.158       -1.87757       0.999825
     1.6      -0.392683        0.45054        1.06719       0.999801
     1.7      -0.338962       0.439305       0.278653       0.999775
     1.8      -0.336361       0.770503       -3.62597       0.999748
     1.9      -0.277351        0.47761       -2.68132       0.999719
       2      -0.209436     -0.0904699        2.05009       0.999688
     2.1      -0.251118     -0.0725256        3.30625       0.999656
     2.2      -0.424306       0.619763       0.274875       0.999623
     2.3      -0.662276         1.6743       -3.78776       0.999588
     2.4       -0.84316        2.65113       -9.18636       0.999551
     2.5       -0.82207        2.65545       -10.1339       0.999513
     2.6       -0.59289        1.75696       -5.69187       0.999473
     2.7      -0.260505       0.726003        -1.7852       0.999432
     2.8       0.107882      -0.263251      -0.405878       0.999389
     2.9       0.499456       -1.73228        5.33059       0.999345
       3       0.771719       -2.99599        13.8406       0.999299
     3.1       0.730795       -2.36083        7.18894       0.999251
     3.2       0.529208       -1.36873       0.785766       0.999202
     3.3       0.322173       -1.10297        3.85854       0.999152
     3.4      0.0342721      -0.450406        2.65836       0.999099
     3.5       -0.35344       0.575778        1.84462       0.999046
     3.6      -0.835801        2.68443       -8.59656        0.99899
     3.7       -1.15955        4.48198       -21.0679       0.998934
     3.8       -1.02982        3.58973        -13.514       0.998875
     3.9      -0.586514        1.54205       -7.25079       0.998815
       4     -0.0619567       -1.51592        14.7625       0.998754
     4.1      0.0766182       -1.67383        10.3589       0.998691
     4.2     -0.0963195      -0.272129      -0.119336       0.998626
     4.3      -0.288546       0.703572       -4.52545        0.99856
     4.4      -0.374638       0.795104       -2.28323       0.998492
     4.5      -0.392764       0.682223       -3.52434       0.998423
     4.6      -0.361653      -0.118464        3.91742       0.998352
     4.7      -0.475393       0.109044        4.49046        0.99828
     4.8      -0.735548        1.41553       -1.69602       0.998206
     4.9      -0.935889        2.69422       -11.1737       0.998131
       5      -0.854482          2.332             -9       0.998054
     5.1      -0.551272       0.813361      -0.732506       0.997975
     5.2      -0.262828      -0.489972        6.08367       0.997895
     5.3      -0.161405      -0.567317        5.47599       0.997813
     5.4      -0.223204       0.454522       -2.10892        0.99773
     5.5      -0.229708        1.02115       -6.31411       0.997645
     5.6      -0.048041       0.338971       -2.73773       0.997559
     5.7       0.236149      -0.992416        4.31698       0.997471
     5.8       0.400989       -1.64519        8.06227       0.997382
     5.9       0.334361      -0.918551        3.96889       0.997291
       6       0.183172       0.382048       -4.67716       0.997198
     6.1       0.208929       0.660669        -9.1608       0.997104
     6.2       0.494803       -1.05141        3.15339       0.997009
     6.3        0.72813       -2.23641        10.1847       0.996912
     6.4       0.734546       -1.90964        4.87051       0.996813
     6.5       0.619099       -1.55105        5.29602       0.996713
     6.6       0.389464      -0.412537       -2.60642       0.996611
     6.7       0.212055      0.0181622       -1.52546       0.996508
     6.8      0.0909123      0.0950192       0.932628       0.996403
     6.9     -0.0361457       0.635186       -4.45412       0.996296
       7     -0.0801129       0.405864      -0.546243       0.996188
     7.1      -0.128339       0.453822       0.368893       0.996079
     7.2      -0.209809        1.24339       -6.64432       0.995968
     7.3      -0.155696        1.33302       -8.14837       0.995855
     7.4        0.12373      0.0489952       -1.79951       0.995741
     7.5       0.473206       -1.75717        9.55032       0.995626
     7.6        0.62321       -2.10582        9.84315       0.995509
     7.7       0.591009       -1.43133        2.89563        0.99539
     7.8       0.549744       -1.17098        1.20878        0.99527
     7.9       0.529415       -1.10546        1.14853       0.995148
       8       0.532267       -1.21105        1.35036       0.995025
     8.1       0.552996       -1.93135        7.29673         0.9949
     8.2       0.412962       -1.96009        10.9625       0.994773
     8.3      0.0112964      -0.220333         2.8432       0.994645
     8.4      -0.417813        1.74595       -8.51777       0.994516
     8.5      -0.610506        2.30201       -9.80622       0.994385
     8.6      -0.562925         2.0168       -6.89317       0.994253
     8.7      -0.321627        1.12709       -3.29858       0.994118
     8.8      0.0405584      -0.303954        2.41571       0.993983
     8.9        0.36708       -1.37798        5.82146       0.993846
       9        0.57862       -1.85145        5.72224       0.993707
     9.1        0.67987       -2.05153         6.1326       0.993567
     9.2       0.659348       -1.74155        4.44981       0.993425
