## w(eV)         sigma(Sm^-1)     kappa(W(mK)^-1)        L12/e(Am^-1)      L22/e^2(Wm^-1)
    0.01              250819             604.309         -4.6625e+06         1.43919e+08
    0.03              261503             619.196        -4.83345e+06         1.47996e+08
    0.05              283291             648.997        -5.18082e+06         1.56228e+08
    0.07              317018             693.782        -5.71545e+06         1.68766e+08
    0.09              363914             753.677        -6.45332e+06         1.85835e+08
    0.11              425574             828.863        -7.41519e+06         2.07722e+08
    0.13              503909             919.549        -8.62601e+06         2.34773e+08
    0.15              601083             1025.93        -1.01141e+07         2.67375e+08
    0.17              719414             1148.17        -1.19101e+07         3.05944e+08
    0.19              861257             1286.31        -1.40453e+07         3.50905e+08
    0.21         1.02884e+06             1440.33        -1.65499e+07         4.02666e+08
    0.23         1.22411e+06             1610.06        -1.94508e+07         4.61592e+08
    0.25         1.44848e+06             1795.17        -2.27688e+07         5.27966e+08
    0.27         1.70264e+06             1995.17         -2.6516e+07         6.01953e+08
    0.29         1.98633e+06             2209.39        -3.06926e+07         6.83558e+08
    0.31         2.29811e+06             2436.87        -3.52838e+07         7.72577e+08
    0.33         2.63517e+06             2676.39        -4.02575e+07         8.68555e+08
    0.35         2.99325e+06             2926.33        -4.55621e+07         9.70746e+08
    0.37         3.36654e+06              3184.6        -5.11248e+07         1.07807e+09
    0.39         3.74775e+06             3448.57        -5.68521e+07         1.18912e+09
    0.41         4.12825e+06             3714.94        -6.26305e+07         1.30211e+09
    0.43         4.49836e+06             3979.73        -6.83293e+07         1.41492e+09
    0.45         4.84765e+06             4238.21        -7.38045e+07         1.52515e+09
    0.47         5.16549e+06             4484.99        -7.89046e+07         1.63017e+09
    0.49         5.44151e+06             4714.07        -8.34771e+07         1.72718e+09
    0.51         5.66615e+06             4919.08        -8.73759e+07         1.81339e+09
    0.53         5.83126e+06             5093.53         -9.0469e+07          1.8861e+09
    0.55         5.93055e+06             5231.09        -9.26462e+07         1.94286e+09
    0.57         5.95999e+06             5326.05        -9.38256e+07         1.98161e+09
    0.59          5.9181e+06             5373.63        -9.39588e+07          2.0008e+09
    0.61         5.80604e+06             5370.42        -9.30345e+07         1.99951e+09
    0.63         5.62761e+06             5314.62        -9.10797e+07         1.97754e+09
    0.65         5.38897e+06             5206.31        -8.81585e+07          1.9354e+09
    0.67         5.09834e+06             5047.54        -8.43691e+07         1.87434e+09
    0.69         4.76549e+06             4842.25        -7.98381e+07         1.79628e+09
    0.71         4.40123e+06             4596.15        -7.47138e+07         1.70372e+09
    0.73         4.01677e+06             4316.34        -6.91578e+07         1.59961e+09
    0.75         3.62319e+06             4010.95        -6.33369e+07         1.48716e+09
    0.77         3.23088e+06             3688.63        -5.74142e+07         1.36971e+09
    0.79         2.84914e+06             3358.03        -5.15421e+07         1.25053e+09
    0.81         2.48578e+06             3027.35        -4.58551e+07         1.13267e+09
    0.83         2.14701e+06             2703.87        -4.04657e+07         1.01882e+09
    0.85         1.83725e+06             2393.62        -3.54607e+07         9.11183e+08
    0.87         1.55921e+06             2101.22        -3.09007e+07         8.11449e+08
    0.89         1.31402e+06             1829.73        -2.68198e+07         7.20738e+08
    0.91         1.10141e+06             1580.79        -2.32282e+07         6.39622e+08
    0.93              919946              1354.8         -2.0115e+07         5.68165e+08
    0.95              767331             1151.24        -1.74524e+07         5.06004e+08
    0.97              640670             969.043        -1.52002e+07         4.52431e+08
    0.99              536731             807.002        -1.33097e+07           4.065e+08
    1.01              452173             664.038        -1.17286e+07         3.67126e+08
    1.03              383737             539.338        -1.04042e+07         3.33178e+08
    1.05              328395             432.288         -9.2866e+06         3.03566e+08
    1.07              283439             342.259        -8.33108e+06         2.77297e+08
    1.09              246550             268.358        -7.49928e+06         2.53527e+08
    1.11              215810             209.274        -6.76014e+06         2.31583e+08
    1.13              189696             163.274        -6.08982e+06         2.10969e+08
    1.15              167050             128.345        -5.47132e+06         1.91359e+08
    1.17              147027             102.391        -4.89359e+06         1.72576e+08
    1.19              129046             83.4313        -4.35042e+06         1.54565e+08
    1.21              112732             69.7265        -3.83928e+06         1.37358e+08
    1.23             97859.5             59.8492        -3.36013e+06         1.21044e+08
    1.25             84305.5             52.6884        -2.91433e+06         1.05736e+08
    1.27             72009.3             47.4212        -2.50377e+06         9.15485e+07
    1.29             60939.7             43.4649        -2.13016e+06         7.85774e+07
    1.31             51072.6             40.4252        -1.79455e+06         6.68852e+07
    1.33             42375.5             38.0475         -1.4971e+06         5.64958e+07
    1.35             34799.8              36.175        -1.23692e+06         4.73922e+07
    1.37             28278.6             34.7151        -1.01221e+06         3.95202e+07
    1.39             22728.1             33.6134             -820351         3.27942e+07
    1.41             18051.5             32.8352             -658139         2.71056e+07
    1.43             14145.2             32.3518             -522048         2.23317e+07
    1.45             10903.6             32.1323             -408448         1.83444e+07
    1.47             8225.25              32.138             -313818         1.50176e+07
    1.49             6016.29             32.3187             -234914         1.22342e+07
    1.51             4193.94             32.6076             -168888            9.89e+06
    1.53             2687.99             32.9065             -113350         7.89718e+06
    1.55              1441.3             33.0035            -66395.1         6.18508e+06
    1.57             409.245             31.3929            -26579.6         4.70021e+06
    1.59            -441.553             37.1557             7125.23         3.40488e+06
    1.61            -1135.11             35.6705             35403.1         2.27496e+06
    1.63            -1688.13             35.2201             58673.7         1.29719e+06
    1.65            -2112.17             34.6882             77175.7              466214
    1.67             -2415.6             33.9186             91045.6             -218371
    1.69            -2605.33             32.8648              100387             -754687
    1.71             -2688.2             31.5194              105326        -1.14086e+06
    1.73            -2671.88             29.8994              106050        -1.37679e+06
    1.75            -2565.49             28.0403              102830        -1.46529e+06
    1.77            -2379.71             25.9922             96027.2        -1.41263e+06
    1.79            -2126.61             23.8165             86085.3        -1.22854e+06
    1.81            -1819.25             21.5828             73509.4             -925662
    1.83            -1470.98             19.3684             58837.3             -518592
    1.85            -1094.75              17.263             42605.3            -22730.3
    1.87             -702.31             15.4055             25313.3              547040
    1.89            -303.502             14.3308             7391.21         1.17759e+06
    1.91             94.2728             6.49175            -10827.8         1.85861e+06
    1.93             486.442             8.86088            -29125.4         2.58328e+06
    1.95             871.373             8.12324              -47406          3.3486e+06
    1.97             1250.22             7.42616            -65690.8         4.15513e+06
    1.99             1626.49             6.94194            -84101.3         5.00628e+06
    2.01             2005.39             6.69624             -102830         5.90714e+06
    2.03             2392.95             6.67692             -122102         6.86291e+06
    2.05             2795.01              6.8538             -142134         7.87714e+06
    2.07             3216.19             7.18529             -163081          8.9499e+06
    2.09             3658.91             7.62236             -185002         1.00761e+07
    2.11             4122.59             8.11177             -207816         1.12442e+07
    2.13             4603.03             8.59948             -231281         1.24354e+07
    2.15             5092.22             9.03405             -254983         1.36236e+07
    2.17             5578.43             9.36987             -278342         1.47758e+07
    2.19             6046.76             9.57004             -300637         1.58539e+07
    2.21             6479.96             9.60852             -321044         1.68161e+07
    2.23             6859.59             9.47141             -338692         1.76201e+07
    2.25             7167.36             9.15729             -352723         1.82258e+07
    2.27             7386.55             8.67662             -362357         1.85979e+07
    2.29              7503.3             8.05027             -366955         1.87088e+07
    2.31              7507.8             7.30737             -366068         1.85411e+07
    2.33             7395.12             6.48267             -359482         1.80888e+07
    2.35             7165.69             5.61368             -347236         1.73582e+07
    2.37             6825.37             4.73778             -329625         1.63678e+07
    2.39              6385.1             3.88948             -307186         1.51472e+07
    2.41              5860.2             3.09809             -280665         1.37355e+07
    2.43             5269.37             2.38582             -250969         1.21791e+07
    2.45             4633.45             1.76622             -219110         1.05287e+07
    2.47             3974.22             1.24314             -186148         8.83676e+06
    2.49             3313.04            0.809607             -153129         7.15436e+06
    2.51             2669.81            0.446149             -121031           5.529e+06
    2.53             2061.93            0.116594              -90717         4.00225e+06
    2.55             1503.66           -0.244183            -62901.2         2.60816e+06
    2.57             1005.67           -0.772502            -38125.4         1.37217e+06
    2.59             574.873             -1.8716            -16747.8              310611
    2.61             214.501            -6.06442              1056.5             -569294
    2.63             -75.595             19.2248             15283.9        -1.26889e+06
    2.65            -298.487             5.08876               26083        -1.79716e+06
    2.67             -459.59             3.22809             33728.4        -2.16945e+06
    2.69            -566.006             2.37526             38589.5        -2.40596e+06
    2.71            -625.844             1.78019             41096.6        -2.53001e+06
    2.73            -647.538             1.26581             41706.1        -2.56626e+06
    2.75            -639.206            0.777717             40865.6        -2.53893e+06
    2.77            -608.079            0.305437             38982.2         -2.4701e+06
    2.79             -560.01           -0.137023             36393.7        -2.37812e+06
    2.81            -499.098           -0.512252             33345.2        -2.27635e+06
    2.83            -427.438           -0.744372             29972.4        -2.17221e+06
